town,pop
Greeley (CO),108795
Temecula (CA),110003
Richmond (CA),116448
Concord (NC),105240
Provo (UT),115162
Rio Rancho (NM),104046
Clearwater (FL),117292
Tuscaloosa (AL),99600
Murrieta (CA),110949
Lansing (MI),112644
Tyler (TX),105995
Miami Gardens (FL),111640
Everett (WA),110629
Allen (TX),104627
Springfield (IL),114394
Beaumont (TX),115282
South Fulton (GA),107436
Carlsbad (CA),114746
Sparks (NV),108445
Gresham (OR),114247
Santa Maria (CA),109707
Hillsboro (OR),106447
Peoria (IL),113150
Davie (FL),105691
Edinburg (TX),100243
Pueblo (CO),111876
Ventura (CA),110763
Palm Coast (FL),89258
Edison (NJ),107588
Costa Mesa (CA),111918
St. George (UT),95342
Centennial (CO),108418
Downey (CA),114355
Spokane Valley (WA),102976
Sugar Land (TX),111026
Lee's Summit (MO),101108
Bend (OR),99178
Jurupa Valley (CA),105053
Georgetown (TX),67176
Green Bay (WI),107395
Fayetteville (AR),93949
Rialto (CA),104026
Brockton (MA),105643
Boulder (CO),108250
Carmel (IN),99757
Dearborn (MI),109976
West Covina (CA),109501
Yuma (AZ),95548
Chico (CA),101475
El Monte (CA),109450
Sandy Springs (GA),108080
Renton (WA),106785
Fishers (IN),98977
Woodbridge (NJ),103639
Suffolk (VA),94324
Lynn (MA),101253
Vacaville (CA),102386
San Mateo (CA),105661
South Bend (IN),103453
Quincy (MA),101636
Burbank (CA),107337
Hesperia (CA),99818
Wichita Falls (TX),102316
Tracy (CA),93000
New Bedford (MA),101079
El Cajon (CA),106215
Albany (NY),99224
Inglewood (CA),107762
Boca Raton (FL),97422
Fort Myers (FL),86395
Clinton[aa] (MI),100513
Daly City (CA),104901
Avondale (AZ),89334
Toms River (NJ),95438
San Angelo (TX),99893
Edmond (OK),94428
Davenport (IA),101724
Deltona (FL),93692
Longmont (CO),98885
